id,Categoria,Produto,Preço,Link
458,Memória RAM,"Memória RAM Gamer Rise Mode Venon, ARGB, 8GB, 3200Mhz, DDR4, CL19, Preto - RM-D4-8G-3200-RGB",170.99,https://www.kabum.com.br/produto/466683/memoria-ram-gamer-rise-mode-venon-argb-8gb-3200mhz-ddr4-cl19-preto-rm-d4-8g-3200-rgb
459,Memória RAM,"Memória RAM para Notebook Corsair Vengeance, 16GB, 4800MHz, DDR5, CL40, Preto - CMSX16GX5M1A4800C40",354.99,https://www.kabum.com.br/produto/382756/memoria-ram-para-notebook-corsair-vengeance-16gb-4800mhz-ddr5-cl40-preto-cmsx16gx5m1a4800c40
460,Memória RAM,"Memória RAM Husky Impulse, 8GB, 2666MHz, DDR4, CL16, Preto - HRM001082616PT",159.9,https://www.kabum.com.br/produto/626843/memoria-ram-husky-impulse-8gb-2666mhz-ddr4-cl16-preto-hrm001082616pt
461,Memória RAM,"Memória RAM Corsair Vengeance RGB, 32GB (2x16GB), 6200MHz, DDR5, CL36, Preto - CMH32GX5M2B6200C36",1145.99,https://www.kabum.com.br/produto/382771/memoria-ram-corsair-vengeance-rgb-32gb-2x16gb-6200mhz-ddr5-cl36-preto-cmh32gx5m2b6200c36
462,Memória RAM,Memoria 16gb P/ Notebook Kingston Ddr4 3200 Kvr32s22s8/16,222.43,https://www.kabum.com.br/produto/793539/memoria-16gb-p-notebook-kingston-ddr4-3200-kvr32s22s8-16
463,Memória RAM,"Memoria RAM Para Notebook Rise Mode Value, 16GB, 3200MHZ, DDR4, CL22 - RM-D4-16G-3200VN",229.99,https://www.kabum.com.br/produto/480402/memoria-ram-para-notebook-rise-mode-value-16gb-3200mhz-ddr4-cl22-rm-d4-16g-3200vn
464,Memória RAM,"Memória RAM Corsair Vengeance LPX, 16GB, 2400MHz, DDR4, CL16, Preto - CMK16GX4M1A2400C16",239.99,https://www.kabum.com.br/produto/89621/memoria-ram-corsair-vengeance-lpx-16gb-2400mhz-ddr4-cl16-preto-cmk16gx4m1a2400c16
465,Memória RAM,"Memória RAM Corsair Vengeance LPX, 8GB, 3000MHz, DDR4, CL16 - CMK8GX4M1D3000C16",139.99,https://www.kabum.com.br/produto/108726/memoria-ram-corsair-vengeance-lpx-8gb-3000mhz-ddr4-cl16-cmk8gx4m1d3000c16
466,Memória RAM,"Memória RAM Corsair Vengeance Performance, 32GB, 3200MHz, DDR4, CL22 - CMSX32GX4M1A3200C22",409.99,https://www.kabum.com.br/produto/506134/memoria-ram-corsair-vengeance-performance-32gb-3200mhz-ddr4-cl22-cmsx32gx4m1a3200c22
467,Memória RAM,"Memória RAM Corsair Vengeance RGB Pro, 16GB (2x8GB), 3600MHz, DDR4, CL18, Preto - CMW16GX4M2Z3600C18",374.99,https://www.kabum.com.br/produto/108450/memoria-ram-corsair-vengeance-rgb-pro-16gb-2x8gb-3600mhz-ddr4-cl18-preto-cmw16gx4m2z3600c18
468,Memória RAM,"Memória RAM Corsair Vengeance LPX, 8GB, 2400MHz, DDR4, CL16, Preto - CMK8GX4M1A2400C16",144.99,https://www.kabum.com.br/produto/84471/memoria-ram-corsair-vengeance-lpx-8gb-2400mhz-ddr4-cl16-preto-cmk8gx4m1a2400c16
469,Memória RAM,"Memória RAM Kingston Fury Beast XMP, 32GB (2X16GB), 6000MT/s, DDR5, DIMM, CL30, Preto - KF560C30BBK2-32",944.44,https://www.kabum.com.br/produto/616562/memoria-ram-kingston-fury-beast-xmp-32gb-2x16gb-6000mt-s-ddr5-dimm-cl30-preto-kf560c30bbk2-32
470,Memória RAM,"Memória RAM Corsair Vengeance RGB, 32GB (2x16GB), 5200MHz, DDR5, CL40, Branco - CMH32GX5M2B5200C40W",830.99,https://www.kabum.com.br/produto/583185/memoria-ram-corsair-vengeance-rgb-32gb-2x16gb-5200mhz-ddr5-cl40-branco-cmh32gx5m2b5200c40w
471,Memória RAM,"Memória RAM XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35",249.99,https://www.kabum.com.br/produto/474941/memoria-ram-xpg-gammix-d35-16gb-3200mhz-ddr4-cl16-preto-ax4u320016g16a-sbkd35
472,Memória RAM,"Memória RAM Kingston Fury Beast, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - KF432C16BB12AK2/32",649.99,https://www.kabum.com.br/produto/480530/memoria-ram-kingston-fury-beast-rgb-32gb-2x16gb-3200mhz-ddr4-cl16-preto-kf432c16bb12ak2-32
473,Memória RAM,"Memória RAM Rise Mode Z, 16GB, 4800MHz, DDR5, CL40, Branco - RM-D5-16G-4800ZW",285.99,https://www.kabum.com.br/produto/442742/memoria-ram-rise-mode-z-16gb-4800mhz-ddr5-cl40-branco-rm-d5-16g-4800zw
474,Memória RAM,"Memória RAM para Notebook Kingston, 8GB, 2666MHz, DDR4 - KVR26S19S8/8",149.0,https://www.kabum.com.br/produto/232159/memoria-ram-para-notebook-kingston-8gb-2666mhz-ddr4-kvr26s19s8-8
475,Memória RAM,Memoria 8GB Kingston Ddr4 3200mhz Kvr32n22s8/8,111.45,https://www.kabum.com.br/produto/644889/memoria-8gb-kingston-ddr4-3200mhz-kvr32n22s8-8
476,Memória RAM,"Memória RAM para Notebook Corsair Vengeance Performance, 32GB (2X16GB), 3200MHz, DDR4, CL22, SODIMM - CMSX32GX4M2A3200C22",489.99,https://www.kabum.com.br/produto/506135/memoria-ram-para-notebook-corsair-vengeance-performance-32gb-2x16gb-3200mhz-ddr4-cl22-sodimm-cmsx32gx4m2a3200c22
477,Memória RAM,"Memória Para Notebook Adata XPG, 16GB, 5600MHz, DDR5, CL46 - AD5S560016G-S",359.99,https://www.kabum.com.br/produto/528846/memoria-para-notebook-adata-xpg-16gb-5600mhz-ddr5-cl46-ad5s560016g-s
478,Memória RAM,"Memoria RAM para Notebook Kingston 16GB, 2666MHz, DDR4 - KVR26S19S8/16",209.51,https://www.kabum.com.br/produto/506073/memoria-ram-para-notebook-kingston-16gb-2666mhz-ddr4-kvr26s19s8-16
479,Memória RAM,Memoria 8GB P/ Notebook Kingston Ddr3 1600mhz Kvr16ls11/8,74.43,https://www.kabum.com.br/produto/663404/memoria-8gb-p-notebook-kingston-ddr3-1600mhz-kvr16ls11-8
480,Memória RAM,"Memória RAM Husky Impulse, 8GB, 3200MHz, DDR4, CL16, Preto - HRM001083216PT",165.9,https://www.kabum.com.br/produto/626844/memoria-ram-husky-impulse-8gb-3200mhz-ddr4-cl16-preto-hrm001083216pt
481,Memória RAM,"Memória RAM Gamer Rise Mode Aura, ARGB, 8GB, 3200MHz, DDR4, CL19, Branco - RM-D4AW-8G-3200ARGB",165.99,https://www.kabum.com.br/produto/513719/memoria-ram-gamer-rise-mode-aura-argb-8gb-3200mhz-ddr4-cl19-branco-rm-d4aw-8g-3200argb
482,Memória RAM,"Memória G.Skill Trident Z RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - F4-3200C16D-32GTZR",549.99,https://www.kabum.com.br/produto/104910/memoria-g-skill-trident-z-rgb-32gb-2x16gb-3200mhz-ddr4-cl16-preto-f4-3200c16d-32gtzr
483,Memória RAM,"Memória RAM Corsair Vengeance, RGB, 64GB (2X32GB), 5600MHz, DDR5, CL40 Preto - CMH64GX5M2B5600Z40K",1398.81,https://www.kabum.com.br/produto/422344/memoria-ram-corsair-vengeance-rgb-64gb-2x32gb-5600mhz-ddr5-cl40-preto-cmh64gx5m2b5600z40k
484,Memória RAM,"Memória RAM Corsair, 8GB, 2400MHz, DDR4, CL16, Preto - CMV8GX4M1A2400C16",149.99,https://www.kabum.com.br/produto/110986/memoria-ram-corsair-8gb-2400mhz-ddr4-cl16-preto-cmv8gx4m1a2400c16
485,Memória RAM,"Memória RAM Gamer Rise Mode Aura, ARGB, 16GB, 3200MHz, DDR4, CL19, Branco - RM-D4AW-16G-3200ARGB",309.99,https://www.kabum.com.br/produto/513721/memoria-ram-gamer-rise-mode-aura-argb-16gb-3200mhz-ddr4-cl19-branco-rm-d4aw-16g-3200argb
486,Memória RAM,"Memória RAM XPG Spectrix D45G, RGB, 8GB, 3600MHz, DDR4, CL18, Preta - AX4U36008G18I-CBKD45G",178.99,https://www.kabum.com.br/produto/194492/memoria-ram-xpg-spectrix-d45g-rgb-8gb-3600mhz-ddr4-cl18-preta-ax4u36008g18i-cbkd45g
487,Memória RAM,"Memória RAM Kingston, 8GB, 2400MHz, DDR4, CL17 - KVR24N17S8/8",121.39,https://www.kabum.com.br/produto/163762/memoria-ram-kingston-8gb-2400mhz-ddr4-cl17-kvr24n17s8-8
488,Memória RAM,"Memória RAM Corsair Vengeance RGB RS, 8GB, 3200MHz, DDR4, CL16, Preto - CMG8GX4M1E3200C16",174.99,https://www.kabum.com.br/produto/382750/memoria-ram-corsair-vengeance-rgb-rs-8gb-3200mhz-ddr4-cl16-preto-cmg8gx4m1e3200c16
489,Memória RAM,"Memória RAM Kingston Fury Beast, 16GB, 3600MHz, DDR4, CL18, Preto - KF436C18BB/16",319.99,https://www.kabum.com.br/produto/172372/memoria-ram-kingston-fury-beast-16gb-3600mhz-ddr4-cl18-preto-kf436c18bb-16
490,Memória RAM,"Memória RAM Adata XPG, 16GB, 2666MHz, DDR4, CL19, Verde - AD4U266616G19-SGN",219.99,https://www.kabum.com.br/produto/474940/memoria-ram-adata-xpg-16gb-2666mhz-ddr4-cl19-verde-ad4u266616g19-sgn
491,Memória RAM,"Memória RAM Corsair Vengeance LPX, 8GB, 2666MHz, DDR4, CL16, Preto - CMK8GX4M1A2666C16",149.99,https://www.kabum.com.br/produto/89940/memoria-ram-corsair-vengeance-lpx-8gb-2666mhz-ddr4-cl16-preto-cmk8gx4m1a2666c16
492,Memória RAM,"Memória RAM Kingston Fury Beast Expo, 64GB (2X32GB), 6000MT/s, DDR5, DIMM, CL30, Preto - KF560C30BBEK2-64",1849.99,https://www.kabum.com.br/produto/616570/memoria-ram-kingston-fury-beast-expo-64gb-2x32gb-6000mt-s-ddr5-dimm-cl30-preto-kf560c30bbek2-64
493,Memória RAM,"Memória RAM Corsair Vengeance RGB PRO, 16GB (1x16GB), 3600MHz, DDR4, CL18, Preto - CMW16GX4M1Z3600C18",304.99,https://www.kabum.com.br/produto/583183/memoria-ram-corsair-vengeance-rgb-pro-16gb-1x16gb-3600mhz-ddr4-cl18-preto-cmw16gx4m1z3600c18
494,Memória RAM,"Memoria Kingston, 8GB, DDR3, 1333mhz - Kvr1333d3n9/8g",64.02,https://www.kabum.com.br/produto/532646/memoria-kingston-8gb-ddr3-1333mhz-kvr1333d3n9-8g
495,Memória RAM,"Memória RAM Corsair Vengeance LPX, 32GB 3000MHz, DDR4, CL16, Preto - CMK32GX4M1D3000C16",419.99,https://www.kabum.com.br/produto/110810/memoria-ram-corsair-vengeance-lpx-32gb-3000mhz-ddr4-cl16-preto-cmk32gx4m1d3000c16
496,Memória RAM,"Memória Para Notebook Husky Technologies, 16GB, 2666MHz, DDR4, CL19 - HTCQ003",249.9,https://www.kabum.com.br/produto/161549/memoria-para-notebook-husky-technologies-16gb-2666mhz-ddr4-cl19-htcq003
497,Memória RAM,"Memória RAM Para Notebook Adata XPG, 16GB, 4800MHz, DDR5, CL42 - AD5S480016G-S",329.98,https://www.kabum.com.br/produto/528845/memoria-ram-para-notebook-adata-xpg-16gb-4800mhz-ddr5-cl42-ad5s480016g-s
498,Memória RAM,"Memória RAM Corsair Vengeance RGB PRO SL, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - CMH32GX4M2E3200C16",562.99,https://www.kabum.com.br/produto/382754/memoria-ram-corsair-vengeance-rgb-pro-sl-32gb-2x16gb-3200mhz-ddr4-cl16-preto-cmh32gx4m2e3200c16
499,Memória RAM,"Memória RAM para Notebook Corsair Vengeance, 8GB, 2400MHz, DDR4, CL16 - CMSX8GX4M1A2400C16",153.99,https://www.kabum.com.br/produto/98071/memoria-ram-para-notebook-corsair-vengeance-8gb-2400mhz-ddr4-cl16-cmsx8gx4m1a2400c16
500,Memória RAM,"Memória RAM Rise Mode Z, 16GB, 4800MHz, DDR5, CL40, Preto - RM-D5-16G-4800Z",289.99,https://www.kabum.com.br/produto/442740/memoria-ram-rise-mode-z-16gb-4800mhz-ddr5-cl40-preto-rm-d5-16g-4800z
